,2019-20,Total,Registered,Lower CGPA / Backlogs,Unnamed: 4,Placed on date,Unnamed: 6,Unnamed: 7,Unnamed: 8,No of Students,%,No of student yet to be placed,Unnamed: 12
0,Computer Science,,,,,PPO,Campus,Off Camp,Total,,,For NIRF,Registrtaions
1,Computer Engineering (COE,41.0,33.0,6.0,27.0,13,32,9,54,29.0,87.9,12,4
2,B.Tech in Computer Engg./ M.Tech in Computer Engineering (CED),41.0,41.0,4.0,37.0,11,22,6,39,29.0,70.7,12,12
3,Electronics and Communication Engg,,,,0.0,,,,,,,,
4,Electronics and Communication Engg. with specialization in Design and Manufacturing (EDM),40.0,34.0,5.0,29.0,0,22,1,23,21.0,61.8,19,13
5,B.Tech in Electronics Engg. (D&M)/ M.Tech in VLSI &Electronic system Design (EVD),20.0,19.0,0.0,19.0,0,10,2,12,12.0,63.2,8,7
6,B.Tech in Electronics Engg. (D&M) / M.Tech in Signal Processing &Communication System Design (ESD),19.0,17.0,0.0,17.0,1,7,0,8,7.0,41.2,12,10
7,Electronic Systems Design (EDS),10.0,8.0,5.0,3.0,0,3,0,3,3.0,37.5,7,5
8,Communication Systems Design (CDS),10.0,9.0,0.0,9.0,0,3,0,3,3.0,33.3,7,6
9,Mechanical Engineering,,,,0.0,,,,,,,,
10,Mechanical Engineering with specialization in Design and Manufacturing (MDM),31.0,29.0,3.0,26.0,0,2,2,4,4.0,13.8,27,25
11,Smart Manufacturing (MSM),31.0,22.0,4.0,18.0,0,16,1,17,16.0,72.7,15,6
12,B.Tech in Mechanical Engg. (D&M) / M.Tech in Product Design (MPD),17.0,15.0,2.0,13.0,0,3,1,4,3.0,20.0,14,12
13,B.Tech in Mechanical Engg. (D&M) / M.Tech in Advanced Manufacturing (MFD),18.0,17.0,2.0,15.0,1,1,2,4,4.0,23.5,14,13
14,Mechanical Systems Design (MDS),15.0,15.0,3.0,12.0,0,1,0,1,1.0,6.7,14,14
15,Smart Manufacturing (SMT),14.0,14.0,3.0,11.0,0,2,3,5,4.0,28.6,10,10
16,TOTAL,307.0,273.0,37.0,236.0,26,124,27,177,136.0,49.8,171,137
