,Company Name,No of Offers
0,Capgemini,53
1,Cognizant,33
2,Infosys,17
3,Quantrium,12
4,Kyndryl GTS,11
5,Deloitte,10
6,Mbit Wireless,9
7,PK Global,8
8,TCS,8
9,IBM,7
10,Indiamart,7
11,Publicis Sapient,7
12,Saint Gobain,7
13,ADF,6
14,AMD,6
15,CGI,6
16,HP,5
17,MathWorks,5
18,Bariflo Labs,4
19,Cogoport,4
20,Innominds,4
21,Start Smart Labs,4
22,Zoom,4
23,Accenture,3
24,CAD MAcRO,3
25,Ericsson,3
26,KLA,3
27,MaxiML,3
28,Zensar,3
29,HCL,2
30,JSW,2
31,TII PGT,2
32,TII TGT,2
33,Virtusa,2
34,Wiley-mthree,2
35,Zentron,2
36,ABB,1
37,Agnikul Cosmos,1
38,ATAI Labs,1
39,DEP,1
40,Entrayn,1
41,Factors.ai,1
42,Gameskraft,1
43,Google,1
44,Hacklab Solutions,1
45,HealthCould AI,1
46,Hitch Works,1
47,Jio Platforms,1
48,LatentView,1
49,LTI,1
50,Maviner,1
51,Microchip,1
52,Multicoreware Inc,1
53,NXT,1
54,Optiply,1
55,Pythmos Private Limited,1
56,SVP Lasers,1
57,Synopsys,1
58,Wisignetworks IIT Hyderabad,1
59,Grand Total,292
