,Branch,Enrolled for the final semester,Registered for placements,Low Response (0-5),Effective Strength,No of Students placed,Single Offers,Two Offers,3 and above offers,Number of Offers,Average of Offers,Placement % against Effective Strength,Available for placement
0,cds,12,12,0,12,11,10,1,0,12,8.3,91.7,1
1,ced,41,37,7,30,27,24,2,1,31,13.4,90.0,3
2,coe,63,54,4,50,46,32,10,4,64,13.0,92.0,4
3,edm,53,46,2,44,39,25,11,3,56,9.7,88.6,5
4,eds,13,13,0,13,11,8,1,1,13,13.5,84.6,2
5,esd,19,17,0,17,9,4,4,0,12,15.9,52.9,8
6,evd,18,16,4,12,6,4,2,0,8,14.6,50.0,6
7,mdm,59,41,12,29,16,16,5,0,26,8.6,55.2,13
8,mds,16,14,3,11,8,7,1,0,9,5.0,72.7,3
9,mfd,20,13,3,10,9,9,0,0,9,7.7,90.0,1
10,mpd,15,12,3,9,5,3,1,1,8,11.5,55.6,4
11,msm,50,44,8,36,28,23,5,0,33,9.3,77.8,8
12,smt,13,13,0,13,11,6,2,3,19,11.9,84.6,2
13,Total,392,332,46,286,226,171,45,13,300,11.0,79.0,60
