,Sl No,Company Name,Role Offered,Unnamed: 3,153,Unnamed: 5,Stipend per month,CTC in Lakhs,No. of Registered,No. of students placed,Degree & Branches Eligible,Remarks
0,,,Internship,Full time,Starting Date,Closing Date,,,,,,
1,1.0,GE Digital,Digital Technology Intern,Software Engineering specialist,2022-07-12 00:00:00,2022-07-13 00:00:00,40K-B.Tech / 45K-M.Tech,17,80.0,1.0,B.Tech / M.Tech / DD - CSE only,Internship cum likely PPO
2,2.0,Boltzmann Labs,Software Intern,,2022-07-12 00:00:00,2022-07-13 00:00:00,20K,2023-06-09 00:00:00,63.0,4.0,B.Tech / M.Tech / DD - CSE,Internship cum likely PPO
3,3.0,Autowiz,Backend Platform Engineer Intern,Backend Engineer,2022-07-13 00:00:00,2022-07-14 00:00:00,15K - 20K,,25.0,1.0,B.Tech / M.Tech / DD - CSE,Internship cum likely PPO
4,4.0,ZF Rane,,,2022-07-13 00:00:00,2022-07-14 00:00:00,,5.5,28.0,6.0,"M.Tech / DD - MECH, MSM",Internship cum likely PPO
5,5.0,Cloudlex 2023,Software Engineer Trainee,Software Engineer - Full Stack,2022-07-14 00:00:00,2022-07-15 00:00:00,30K,6.5 - 15,30.0,,B.Tech / M.Tech / DD - CSE,Internship cum likely PPO
6,6.0,Infosys - 1,,Specialist Programmer / Digital Specialist Engineer,2022-07-06 00:00:00,2022-07-10 00:00:00,,9.5 / 6.25,121.0,,"B.Tech / M.Tech / DD - CSE, ECE",Full time offer
7,7.0,Infosys - 2,,System Engineer,2022-07-14 00:00:00,2022-07-16 00:00:00,,3.6,86.0,,All branches,Full time offer
8,8.0,Optiply,Integrations Developer Intern / Troubleshooting Engineer Intern,Algorithm Developer / Integrations Developer / Troubleshoorting Engineer,2022-07-20 00:00:00,2022-07-29 00:00:00,20K,10 / 8.5 / 8.5,113.0,,"M.Tech / DD - CSE, Smart Manufacturing",
9,9.0,Vassarlabs,,,2022-07-20 00:00:00,2022-07-21 00:00:00,,2023-06-09 00:00:00,31.0,,"B.Tech / M.Tech - CSE, ECE",Full time offer
10,10.0,AMD,,University relations lead,2022-07-21 00:00:00,2022-07-22 00:00:00,,19.2,77.0,,"M.Tech / DD - CSE, ECE",Full time offer
11,11.0,Aqfer Start Smart Labs,,Software Developer,2022-07-20 00:00:00,2022-07-22 00:00:00,,11,42.0,,B.Tech / M.Tech / DD - CSE,Full time offer
12,12.0,IBM,,Software Developer,2022-07-21 00:00:00,2022-07-25 00:00:00,30K-B.Tech / 40K-M.Tech,7.25,67.0,1.0,"B.Tech / M.Tech / DD - CSE, ECE",Internship cum PPO
13,13.0,Loyalty Juggernaut,,Product Engineer,2022-07-21 00:00:00,2022-07-22 00:00:00,,10,83.0,,B.Tech / M.Tech - CSE,Full time offer
14,14.0,Capgemini 2023,,,,,,,0.0,,,
15,15.0,LatentView,,"Analyst L1 - High, Entry",2022-07-26 00:00:00,2022-07-27 00:00:00,,9 / 6.5,143.0,,All branches,Full time offer
16,16.0,MulticoreWare,,Software Engineer,2022-07-26 00:00:00,2022-07-27 00:00:00,,7.2 / 10.2,35.0,,"B.Tech / M.Tech / DD - CSE, ECE",Full time offer
