,NIRF FORMAT DATA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,AVERAGE OF OFFERS (CTC ),,,,,,,
1,Degree,22-23,21-22,20-21,19-20,18-19,17-18,16-17
2,B Tech,10.9,10.16,8.89,9.8,5.45,5.16,3.33
3,DD,13.4,12.62,11.34,7.3,6.52,,
4,M Tech,10.8,9.66,8.27,5.5,4.12,4.25,4.8
5,NO OF OFFERS,,,,,,,
6,,22-23,21-22,20-21,19-20,18-19,17-18,16-17
7,B Tech,101,179,109,102,67,49,50
8,DD,74,68,57,67,46,,
9,M Tech,15,53,18,14,12,17,15
10,Total offers,190,300,184,183,125,66,65
11,,,,,,,,
12,No of Companies,168,201,102,86,37,32,22
13,No of companies given offers,,,67,,,,
