,Branch,Enrolled for the final semester,Not willing in Campus Placements,Lower CGPA / 4 or More Backlogs / applied for less than 5 companies,Registered for placements,No of Students placed,Single Offers,Two Offers,3 and above offers,Number of Offers,Average of offers,Placement % aganist Effective Strength,Available for placement
0,B Tech,,,,,,,,,,,,57
1,edm,54.0,6.0,13.0,35.0,19.0,12.0,7.0,0.0,26.0,10.5,54.3,16
2,coe,59.0,3.0,9.0,47.0,32.0,23.0,8.0,1.0,42.0,13.5,68.1,15
3,mdm,46.0,6.0,12.0,28.0,13.0,9.0,4.0,0.0,17.0,7.8,46.4,15
4,msm,40.0,3.0,14.0,23.0,12.0,8.0,4.0,0.0,16.0,12.0,52.2,11
5,Dual Degree,,,,0.0,,,,,,,,55
6,ced,55.0,2.0,2.0,51.0,35.0,30.0,5.0,0.0,40.0,18.8,68.6,16
7,esd,24.0,2.0,4.0,18.0,7.0,7.0,0.0,0.0,7.0,11.6,38.9,11
8,evd,29.0,1.0,7.0,21.0,12.0,12.0,0.0,0.0,12.0,16.1,57.1,9
9,mfd,22.0,1.0,3.0,18.0,8.0,7.0,1.0,0.0,9.0,6.9,44.4,10
10,mpd,26.0,1.0,11.0,14.0,5.0,4.0,1.0,0.0,6.0,9.8,35.7,9
11,M Tech / M Des,,,,0.0,,,,,,,,21
12,ec2,13.0,1.0,5.0,7.0,3.0,3.0,0.0,0.0,3.0,12.8,42.9,4
13,me2,12.0,1.0,2.0,9.0,5.0,4.0,1.0,0.0,6.0,8.5,55.6,4
14,cs2,10.0,0.0,3.0,7.0,5.0,5.0,0.0,0.0,5.0,11.2,71.4,2
15,id2,12.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,1.0,8.0,8.3,11
16,Total,402.0,27.0,85.0,290.0,157.0,125.0,31.0,,190.0,10.84,65.5,133
